Year Released,Movie,Length,RT Score,IMDB Score,Metacritic Score,Opening Weekend,Worldwide Gross,Domestic Gross,Adjusted Domestic Gross,International Gross,Domestic %,International %,Production Budget,Oscars Nominated,Oscars Won
1995,Toy Story,81,100.0,8.3,92.0,29.14,362.0,191.8,356.21,170.2,52.98,47.02,30.0,3,0
1998,A Bug's Life,96,92.0,7.2,77.0,33.26,363.4,162.8,277.18,200.6,44.8,55.2,45.0,1,0
1999,Toy Story 2,92,100.0,7.9,88.0,57.39,485.0,245.9,388.43,239.2,50.7,49.32,90.0,1,0
2001,"Monsters, Inc.",90,96.0,8.1,78.0,62.58,528.8,255.9,366.12,272.9,48.39,51.61,115.0,3,1
2003,Finding Nemo,104,99.0,8.2,90.0,70.25,895.6,339.7,457.46,555.9,37.93,62.07,94.0,4,1
2004,The Incredibles,115,97.0,8.0,90.0,70.47,631.4,261.4,341.28,370.0,41.4,58.6,92.0,4,2
2006,Cars,116,74.0,7.2,73.0,60.12,462.0,244.1,302.59,217.9,52.84,47.16,70.0,2,0
2007,Ratatouille,111,96.0,8.0,96.0,47.0,623.7,206.4,243.65,417.3,33.09,66.91,150.0,5,1
2008,WALL-E,97,96.0,8.4,94.0,63.1,521.3,223.8,253.11,297.5,42.93,57.07,180.0,6,1
2008,Kung Fu Panda,92,7.5,74.0,60.2,632.4,215.4,434.0,591.0,416.3,201.49,193.27,130.0,1,0
2009,Up,96,98.0,8.3,88.0,68.11,731.3,293.0,318.9,438.3,40.07,59.93,175.0,5,2
2010,Toy Story 3,103,99.0,8.4,92.0,110.31,1063.2,415.0,423.88,648.2,39.03,60.97,200.0,5,2
2011,Kung Fu Panda 2,91,7.2,67.0,47.7,665.7,165.3,215.43,500.4,500.44,130.33,302.75,130.0,1,0
2011,Cars 2,113,39.0,6.3,57.0,109.0,559.9,191.5,194.43,368.4,34.2,65.8,200.0,0,0
2012,Brave,100,78.0,7.2,69.0,66.3,539.0,237.3,243.39,301.7,44.03,55.97,185.0,1,1
2013,Monsters University,107,78.0,7.4,65.0,82.43,743.6,268.5,269.59,475.1,36.11,63.89,200.0,0,0
2015,The Good Dinosaur,100,76.0,6.7,66.0,39.16,332.2,123.1,128.47,209.1,37.06,62.94,175.0,1,0
2015,Inside Out,102,98.0,8.8,93.0,90.4,677.1,340.5,340.5,336.6,50.29,49.71,175.0,1,1
2016,Kung Fu Panda 3,95,7.1,66.0,41.3,521.2,143.5,9.0,377.7,75.7,6.27,52.75,145.0,0,0
2016,Finding Dory,97,100.0,8.4,94.0,135.1,1028.0,486.3,541.9,542.28,47.31,52.75,200.0,0,0
2017,Coco,100,8.4,81.0,49.0,807.0,807.5,209.7,223.58,597.8,25.97,74.03,175.0,2,2
2018,The Incredibles 2,102,97.0,8.0,84.0,182.7,1243.0,608.6,634.5,634.2,48.96,51.02,200.0,1,0
2019,Toy Story 4,98,7.7,84.0,120.97,1072.3,434.0,434.0,637.4,639.4,100.0,147.33,200.0,2,1
2020,Onward,88,7.4,61.0,39.12,142.0,61.6,61.6,80.4,80.4,100.0,130.52,200.0,1,0
2020,Soul,95,8.1,83.0,12.74,135.3,54.7,54.7,80.6,121.03,100.0,221.26,150.0,3,2
2022,Lightyear,100,77.0,6.1,60.0,50.5,226.4,118.3,108.1,226.43,52.25,100.01,200.0,1,0
2024,Kung Fu Panda 4,94,72.0,6.3,54.0,57.9,520.78,188.62,,332.16,36.22,63.78,85.0,0,0
