id,name,birthdate,country
1,John Lasseter,1957,USA
3,Andrew Stanton,1965,USA
5,Pete Docter,1968,USA
7,Brad Bird,1957,USA
11,John Stevenson,,
12,Mark Osborne,,
14,Bob Peterson,1961,USA
15,Lee Unkrich,1967,USA
16,Jennifer Yuh Nelson,1972,USA
18,Brad Lewis,,
19,Mark Andrews,,
20,Brenda Chapman,,
21,Dan Scanlon,1976,USA
22,Peter Sohn,,
25,Alessandro Carloni,,
29,Adrian Molina,,
31,Josh Cooley,1980,USA
34,Kemp Powers,,
35,Angus Maclane,,
36,Mike Mitchell,,
37,David Hand,1900,USA
38,Wilfred Jackson,1906,USA
39,Clyde Geronimi,1901,USA
40,Wolfgang Reitherman,1909,Germany
41,John Musker,1953,USA
42,Gary Trousdale,1960,USA
44,Roger Allers,1949,USA
45,Mike Gabriel,1954,USA
47,Tony Bancroft,1967,USA
48,Chris Buck,1958,USA
49,Mark Dindal,1960,USA
50,Chris Sanders,1962,USA
53,Byron Howard,1968,USA
54,Nathan Greno,1975,USA
55,Don Hall,1969,USA
59,Ron Clements,1953,USA
61,Jon Favreau,1966,USA
64,Enrico Casarosa,1970,Italy
65,Domee Shi,1989,China
66,Frank Darabont,,
67,Francis Ford Coppola,,
68,Christopher Nolan,,
69,Sidney Lumet,,
70,Peter Jackson,,
71,Quentin Tarantino,,
72,Steven Spielberg,,
73,David Fincher,,
74,Robert Zemeckis,,
75,Sergio Leone,,
76,Lana Wachowski,,
77,Martin Scorsese,,
78,Irvin Kershner,,
79,Milos Forman,,
80,Thomas Kail,,
81,Bong Joon Ho,,
82,Sudha Kongara,,
83,Fernando Meirelles,,
84,Hayao Miyazaki,,
85,Roberto Benigni,,
86,Jonathan Demme,,
87,George Lucas,,
88,Masaki Kobayashi,,
89,Akira Kurosawa,,
90,Frank Capra,,
91,Todd Phillips,,
92,Damien Chazelle,,
93,Olivier Nakache,,
94,Roman Polanski,,
95,Ridley Scott,,
96,Tony Kaye,,
97,Bryan Singer,,
98,Luc Besson,,
99,James Cameron,,
100,Giuseppe Tornatore,,
101,Isao Takahata,,
102,Alfred Hitchcock,,
103,Michael Curtiz,,
104,Charles Chaplin,,
105,Nadine Labaki,,
106,Can Ulkay,,
107,Gayatri,,
108,Makoto Shinkai,,
109,Nitesh Tiwari,,
110,Bob Persichetti,,
111,Anthony Russo,,
112,Rajkumar Hirani,,
113,Aamir Khan,,
114,Florian Henckel Von Donnersmarck,,
115,Chan-wook Park,,
116,Stanley Kubrick,,
117,Hrishikesh Mukherjee,,
118,Billy Wilder,,
119,Sam Mendes,,
120,Rahi Anil Barve,,
121,Sriram Raghavan,,
122,Jeethu Joseph,,
123,Thomas Vinterberg,,
124,Asghar Farhadi,,
125,Denis Villeneuve,,
126,Mehmet Ada Öztekin,,
127,Çagan Irmak,,
128,Michel Gondry,,
129,Jean-pierre Jeunet,,
130,Guy Ritchie,,
131,Darren Aronofsky,,
132,Gus Van Sant,,
133,Majid Majidi,,
134,Mel Gibson,,
135,Elem Klimov,,
136,Brian De Palma,,
137,Richard Marquand,,
138,Wolfgang Petersen,,
139,George Roy Hill,,
140,David Lean,,
141,Stanley Donen,,
142,Vittorio De Sica,,
143,Orson Welles,,
144,Fritz Lang,,
145,Aditya Dhar,,
146,Prashanth Neel,,
147,Peter Farrelly,,
148,Martin Mcdonagh,,
149,Meghna Gulzar,,
150,S.s. Rajamouli,,
151,Sergio Pablos,,
152,Nishikant Kamat,,
153,Vikas Bahl,,
154,Zaza Urushadze,,
155,Rakeysh Omprakash Mehra,,
156,Anurag Kashyap,,
157,Vikramaditya Motwane,,
158,Tigmanshu Dhulia,,
159,Juan José Campanella,,
160,Gavin O'connor,,
161,Shimit Amin,,
162,Paul Thomas Anderson,,
163,Guillermo Del Toro,,
164,James Mcteigue,,
165,Sanjay Leela Bhansali,,
166,Ashutosh Gowariker,,
167,Oliver Hirschbiegel,,
168,Ron Howard,,
169,Priyadarshan,,
170,Curtis Hanson,,
171,Yavuz Turgul,,
172,Michael Mann,,
173,Rajkumar Santoshi,,
174,Clint Eastwood,,
175,Emir Kusturica,,
176,John Mctiernan,,
177,Andrei Tarkovsky,,
178,Ingmar Bergman,,
179,Moustapha Akkad,,
180,Ramesh Sippy,,
181,Terry Gilliam,,
182,John Sturges,,
183,Robert Mulligan,,
184,Stanley Kramer,,
185,Jules Dassin,,
186,Yasujirô Ozu,,
187,Joseph L. Mankiewicz,,
188,John Huston,,
189,Ernst Lubitsch,,
190,Buster Keaton,,
191,Céline Sciamma,,
192,Aniruddha Roy Chowdhury,,
193,Naoko Yamada,,
194,Oriol Paulo,,
195,Xavier Dolan,,
196,Vishal Bhardwaj,,
197,James Mangold,,
198,Lenny Abrahamson,,
199,Damián Szifron,,
200,Nuri Bilge Ceylan,,
201,Umesh Shukla,,
202,Wes Anderson,,
203,Mamoru Hosoda,,
204,Anurag Basu,,
205,Steve Mcqueen,,
206,Tom Mccarthy,,
207,Tomm Moore,,
208,Sujoy Ghosh,,
209,Zoya Akhtar,,
210,George Miller,,
211,Neeraj Pandey,,
212,David Yates,,
213,Yôjirô Takita,,
214,Lasse Hallström,,
215,Adam Elliot,,
216,Dean Deblois,,
217,Sean Penn,,
218,Ethan Coen,,
219,Terry George,,
220,Je-kyu Kang,,
221,Richard Linklater,,
222,Farhan Akhtar,,
223,Alejandro G. Iñárritu,,
224,Hideaki Anno,,
225,M. Night Shyamalan,,
226,Peter Weir,,
227,Joel Coen,,
228,Kar-wai Wong,,
229,Danny Boyle,,
230,Mathieu Kassovitz,,
231,Aditya Chopra,,
232,Krzysztof Kieslowski,,
233,Jim Sheridan,,
234,Kaige Chen,,
235,Yimou Zhang,,
236,Rob Reiner,,
237,Oliver Stone,,
238,Wim Wenders,,
239,John Carpenter,,
240,Alan Parker,,
241,Werner Herzog,,
242,David Lynch,,
243,Terry Jones,,
244,Michael Cimino,,
245,John G. Avildsen,,
246,Peter Bogdanovich,,
247,Jean-pierre Melville,,
248,Stuart Rosenberg,,
249,Gillo Pontecorvo,,
250,Luis Buñuel,,
251,Robert Aldrich,,
252,John Ford,,
253,François Truffaut,,
254,William Wyler,,
255,Federico Fellini,,
256,Elia Kazan,,
257,Henri-georges Clouzot,,
258,Raoul Walsh,,
259,Carol Reed,,
260,Michael Powell,,
261,Victor Fleming,,
262,Jean Renoir,,
263,Carl Theodor Dreyer,,
264,F.w. Murnau,,
265,Clyde Bruckman,,
266,Robert Wiene,,
267,Amit Ravindernath Sharma,,
268,Ericson Core,,
269,Raja Menon,,
270,Kabir Khan,,
271,Garth Davis,,
272,Stephen Chbosky,,
273,Destin Daniel Cretton,,
274,Gareth Evans,,
275,Morten Tyldum,,
276,James Gunn,,
277,Spike Jonze,,
278,José Padilha,,
279,Tom Hooper,,
280,Tate Taylor,,
281,Tim Miller,,
282,Wilson Yip,,
283,Karan Johar,,
284,Levent Semerci,,
285,Joss Whedon,,
286,Vincent Paronnaud,,
287,Jean-marc Vallée,,
288,Gabriele Muccino,,
289,Edward Zwick,,
290,Paul Greengrass,,
291,Ki-duk Kim,,
292,Frank Miller,,
293,Julian Schnabel,,
294,Ömer Faruk Sorak,,
295,Martin Campbell,,
296,Andrey Zvyagintsev,,
297,Alejandro Amenábar,,
298,Nikkhil Advani,,
299,Andrew Lau,,
300,Gore Verbinski,,
301,Tim Burton,,
302,Jae-young Kwak,,
303,Lars Von Trier,,
304,Yilmaz Erdogan,,
305,Richard Kelly,,
306,Satoshi Kon,,
307,Walter Salles,,
308,Thomas Jahn,,
309,Billy Bob Thornton,,
310,Mike Leigh,,
311,Mamoru Oshii,,
312,Henry Selick,,
313,Harold Ramis,,
314,Taylor Hackford,,
315,Martin Brest,,
316,Kevin Costner,,
317,Spike Lee,,
318,Barry Levinson,,
319,Katsuhiro Ôtomo,,
320,Louis Malle,,
321,Richard Attenborough,,
322,Hal Ashby,,
323,Woody Allen,,
324,Mel Brooks,,
325,Franklin J. Schaffner,,
326,William Friedkin,,
327,Norman Jewison,,
328,Bernardo Bertolucci,,
329,Mike Nichols,,
330,Robert Wise,,
331,Jean-luc Godard,,
332,Robert Rossen,,
333,Howard Hawks,,
334,Otto Preminger,,
335,Richard Brooks,,
336,Alexander Mackendrick,,
337,Charles Laughton,,
338,Nicholas Ray,,
339,Robert Hamer,,
340,Jacques Tourneur,,
341,W.s. Van Dyke,,
342,Lewis Milestone,,
343,Sergei M. Eisenstein,,
344,Rian Johnson,,
345,Mukesh Chhabra,,
346,Hirokazu Koreeda,,
347,Noah Baumbach,,
348,Luca Guadagnino,,
349,Ken Loach,,
350,Taika Waititi,,
351,Matt Ross,,
352,John Carney,,
353,Dan Gilroy,,
354,J.j. Abrams,,
355,Michel Hazanavicius,,
356,Doug Liman,,
357,Michael Haneke,,
358,Jacques Audiard,,
359,Duncan Jones,,
360,Tomas Alfredson,,
361,Neill Blomkamp,,
362,Imtiaz Ali,,
363,Cristian Mungiu,,
364,Richard Schenkman,,
365,Tarsem Singh,,
