id,film_id,director_id
1,30,1
2,31,1
3,31,3
4,32,1
5,33,5
6,15,3
7,35,7
8,36,1
9,37,7
10,38,3
11,39,11
12,39,12
13,40,5
14,40,14
15,41,15
16,42,16
17,43,1
18,43,18
19,44,19
20,44,20
21,45,21
22,46,22
23,46,14
24,47,5
25,48,25
26,48,16
27,49,3
28,50,15
29,50,29
30,51,7
31,52,31
32,53,21
33,54,5
34,54,34
35,55,35
36,56,36
37,1,37
38,2,38
39,3,39
40,4,40
41,5,41
42,6,42
43,7,41
44,8,44
45,9,45
46,10,41
47,11,47
48,12,48
49,13,49
50,14,50
51,15,3
52,16,49
53,17,53
54,18,54
55,19,55
56,20,48
57,21,55
58,22,53
59,23,59
60,24,48
61,26,55
62,27,53
63,28,64
64,29,65
65,64,66
66,65,67
67,66,68
68,67,67
69,68,69
70,69,70
71,70,71
72,71,72
73,72,68
74,73,73
75,74,70
76,75,74
77,76,75
78,77,70
79,78,76
80,79,77
81,80,78
82,81,79
83,82,80
84,83,81
85,84,82
86,85,68
87,86,83
88,87,84
89,88,72
90,89,66
91,90,85
92,91,73
93,92,86
94,93,87
95,94,88
96,95,89
97,96,90
98,97,91
99,98,92
100,99,93
101,100,68
102,101,77
103,102,94
104,63,95
105,103,96
106,104,97
107,105,98
108,25,44
109,106,99
110,107,100
111,108,101
112,109,74
113,110,75
114,111,102
115,112,103
116,113,104
117,114,104
118,115,105
119,116,106
120,117,107
121,118,108
122,119,109
123,120,110
124,121,111
125,122,111
126,50,15
127,123,71
128,124,68
129,125,112
130,126,113
131,127,3
132,128,114
133,129,115
134,130,68
135,131,84
136,132,75
137,133,72
138,134,116
139,135,67
140,136,95
141,137,117
142,138,89
143,139,116
144,140,118
145,141,116
146,142,102
147,143,118
148,144,104
149,145,119
150,146,120
151,147,121
152,148,122
153,149,123
154,150,124
155,151,125
156,152,126
157,153,127
158,154,71
159,155,128
160,156,129
161,157,130
162,158,131
163,159,119
164,160,132
165,161,133
166,30,1
167,162,134
168,163,71
169,164,116
170,165,135
171,166,99
172,167,79
173,168,136
174,169,137
175,170,138
176,171,77
177,172,139
178,173,116
179,174,116
180,175,75
181,176,140
182,177,118
183,178,102
184,179,102
185,180,141
186,181,89
187,182,142
188,183,118
189,184,143
190,185,144
191,186,144
192,187,104
193,188,109
194,189,145
195,190,146
196,191,147
197,192,148
198,193,149
199,194,150
200,195,151
201,148,152
202,196,153
203,197,154
204,198,155
205,199,156
206,200,157
207,201,158
208,202,159
209,203,160
210,204,77
211,40,5
212,205,77
213,206,161
214,207,162
215,208,163
216,41,15
217,209,164
218,210,155
219,211,165
220,212,68
221,213,166
222,214,167
223,215,84
224,216,168
225,217,169
226,218,130
227,219,170
228,220,171
229,221,172
230,222,77
231,223,173
232,224,174
233,225,72
234,226,175
235,227,84
236,228,176
237,229,89
238,230,77
239,231,177
240,232,178
241,233,179
242,234,180
243,235,181
244,236,182
245,237,183
246,238,89
247,239,184
248,240,118
249,241,178
250,242,178
251,243,185
252,244,102
253,245,186
254,246,89
255,247,187
256,248,188
257,249,189
258,250,104
259,251,190
260,252,191
261,253,192
262,254,193
263,255,194
264,256,115
265,257,195
266,258,196
267,259,197
268,260,198
269,261,199
270,54,5
