id,year,title,runtime,rt_score,imdb_score,metacritic_score,budget,worldwide_gross,domestic_gross,international_gross,oscars_won,oscars_nominated,overview,url_poster,studio_id
1,1937,Snow White and the Seven Dwarfs,83.0,98.0,7.6,95.0,1.49,418.2,184.9,233.3,0,1,"A young princess is threatened by her jealous stepmother, the Queen, and finds refuge with seven dwarfs.",https://m.media-amazon.com/images/M/MV5BMTQwMzE2Mzc4M15BMl5BanBnXkFtZTcwMTE4NTc1Nw@@._V1_SX300.jpg,1.0
2,1950,Cinderella,74.0,97.0,7.3,85.0,95.0,542.36,93.6,88.9,0,3,A young woman with an evil stepmother and stepsisters goes to a ball with the help of her fairy godmother.,https://m.media-amazon.com/images/M/MV5BMjMxODYyODEzN15BMl5BanBnXkFtZTgwMDk4OTU0MzE@._V1_SX300.jpg,1.0
3,1955,Lady and the Tramp,75.0,93.0,7.3,71.0,4.0,187.0,93.6,93.4,0,0,The romantic adventures of a pampered cocker spaniel and a street-smart mongrel.,https://m.media-amazon.com/images/M/MV5BYTI1ZDc1OTItM2EzNS00ODMxLWIxYzctOTc5YWNiYzI3NGZiXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,1.0
4,1967,The Jungle Book,78.0,95.0,7.6,65.0,175.0,967.72,141.0,237.0,0,1,A young boy raised by animals learns about the jungle and himself.,https://m.media-amazon.com/images/M/MV5BMTc3NTUzNTI4MV5BMl5BanBnXkFtZTgwNjU0NjU5NzE@._V1_SX300.jpg,1.0
5,1989,The Little Mermaid,83.0,93.0,7.6,88.0,250.0,569.63,111.5,124.3,2,3,A mermaid princess makes a deal with a sea witch to become human.,https://m.media-amazon.com/images/M/MV5BOWUyNDA0ZmItMzg2My00YjJhLTk1N2QtYTAxYTc0NzMzNDI0XkEyXkFqcGdeQXVyMTI5NzUyMTIz._V1_SX300.jpg,1.0
6,1991,Beauty and the Beast,84.0,95.0,8.0,95.0,160.0,1266.12,218.7,113.2,2,6,A young woman falls in love with a cursed prince who must learn to love and be loved to break the spell.,https://m.media-amazon.com/images/M/MV5BMzE5MDM1NDktY2I0OC00YWI5LTk2NzUtYjczNDczOWQxYjM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1.0
7,1992,Aladdin,90.0,95.0,8.0,86.0,183.0,1054.3,217.4,286.7,2,5,A street-smart young man and his magical friend must save the princess from an evil sorcerer.,https://m.media-amazon.com/images/M/MV5BZTg5ZTVmM2EtZjdhZC00MzBjLWEwZTYtNWIwZDczYzZkMzA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1.0
8,1994,The Lion King,88.0,93.0,8.5,88.0,260.0,1663.08,422.8,545.7,2,4,A young lion prince must reclaim his throne after his father's death.,https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_SX300.jpg,1.0
9,1995,Pocahontas,81.0,55.0,6.7,58.0,55.0,346.08,141.5,204.6,2,2,A Native American woman must choose between her duty to her tribe and her love for a settler.,https://m.media-amazon.com/images/M/MV5BMzc4YzhiN2ItY2Y4NC00YTA0LWEyMjEtNzllNTcxZDdjODhiXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,1.0
10,1997,Hercules,93.0,84.0,7.3,74.0,100.0,244.82,99.1,153.6,0,1,A young demigod must prove himself worthy to rejoin his family on Mount Olympus.,https://m.media-amazon.com/images/M/MV5BZDcwYjEyNWItMGI1Mi00MjI1LWIyMDEtMTQ4YjhkNjM4NDU3XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg,1.0
11,1998,Mulan,88.0,86.0,7.6,71.0,200.0,69.97,120.6,183.7,0,1,A young Chinese maiden disguises herself as a male soldier to save her father and her country.,https://m.media-amazon.com/images/M/MV5BODkxNGQ1NWYtNzg0Ny00Yjg3LThmZTItMjE2YjhmZTQ0ODY5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1.0
12,1999,Tarzan,88.0,89.0,7.3,79.0,130.0,448.19,171.1,277.1,1,1,An orphaned boy raised by gorillas learns about his heritage and faces danger in the jungle.,https://m.media-amazon.com/images/M/MV5BY2ZiYWUxN2ItYmQxZi00NDlkLWE2NDAtOTNmYTg1MDI0NDk1XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,1.0
13,2000,The Emperor's New Groove,78.0,85.0,7.4,70.0,100.0,169.66,89.3,80.0,0,1,An arrogant young emperor is transformed into a llama and must find his way back to his throne.,https://m.media-amazon.com/images/M/MV5BMjFkMzk2OWUtNjFmZC00ZTJhLTlkNGYtYjc2YWNkNmJmNzczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1.0
14,2002,Lilo & Stitch,85.0,86.0,7.3,73.0,80.0,273.14,145.8,127.3,0,1,A young Hawaiian girl forms an unlikely friendship with an alien creature trying to avoid capture.,https://m.media-amazon.com/images/M/MV5BYTY5MGE4MjEtNTMzYy00ODAxLWFiNDQtNzhlOGJiZWIzNDhkXkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_SX300.jpg,1.0
15,2003,Finding Nemo,100.0,99.0,8.2,90.0,94.0,941.64,339.7,555.9,1,4,A clownfish goes on an adventure to find his son who was captured by divers.,https://m.media-amazon.com/images/M/MV5BZmYxZjg3OWEtNzg5Yi00M2YzLWI1YzYtYTQ0NTgwNzhjN2E1XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg,1.0
16,2005,Chicken Little,81.0,36.0,5.7,36.0,150.0,314.43,135.4,179.0,0,0,A young chicken who caused alarm in his town must save it from a real alien invasion.,https://m.media-amazon.com/images/M/MV5BMTM3MTIzMDQxMV5BMl5BanBnXkFtZTYwNTE0Mjg3._V1_SX300.jpg,1.0
17,2008,Bolt,96.0,89.0,6.8,67.0,150.0,309.98,114.1,195.9,0,1,A dog who thinks he's a superhero goes on an adventure to find his owner.,https://m.media-amazon.com/images/M/MV5BNDQyNDE5NjQ1N15BMl5BanBnXkFtZTcwMDExMTAwMg@@._V1_SX300.jpg,1.0
18,2010,Tangled,100.0,89.0,7.7,71.0,260.0,592.46,200.8,391.7,0,1,A young woman with magical hair escapes her tower and goes on an adventure with a charming thief.,https://m.media-amazon.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_SX300.jpg,1.0
19,2011,Winnie the Pooh,63.0,91.0,7.2,74.0,7.5,44.6,26.7,17.9,0,0,Winnie the Pooh and his friends embark on adventures in the Hundred Acre Wood.,https://m.media-amazon.com/images/M/MV5BMjI2MTMxMDYwMl5BMl5BanBnXkFtZTcwMDM0NTQ4NA@@._V1_SX300.jpg,1.0
20,2013,Frozen,102.0,90.0,7.4,74.0,150.0,1334.21,290.0,380.6,2,2,Two sisters with different powers must save their kingdom from an eternal winter.,https://m.media-amazon.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_SX300.jpg,1.0
21,2014,Big Hero 6,102.0,89.0,7.8,74.0,165.0,657.87,222.5,435.3,1,1,A young boy and his robot friend form a superhero team to uncover a criminal plot.,https://m.media-amazon.com/images/M/MV5BMDliOTIzNmUtOTllOC00NDU3LWFiNjYtMGM0NDc1YTMxNjYxXkEyXkFqcGdeQXVyNTM3NzExMDQ@._V1_SX300.jpg,1.0
22,2016,Zootopia,108.0,98.0,8.0,78.0,150.0,1025.52,1023.8,435.2,1,1,A rookie rabbit police officer and a cynical fox con artist solve a mystery in a mammal metropolis.,https://m.media-amazon.com/images/M/MV5BOTMyMjEyNzIzMV5BMl5BanBnXkFtZTgwNzIyNjU0NzE@._V1_SX300.jpg,1.0
23,2016,Moana,107.0,95.0,7.6,81.0,150.0,687.23,248.8,433.8,0,2,A young girl sets out on a journey to save her people and find her true self.,https://m.media-amazon.com/images/M/MV5BMjI4MzU5NTExNF5BMl5BanBnXkFtZTgwNzY1MTEwMDI@._V1_SX300.jpg,1.0
24,2019,Frozen II,103.0,77.0,6.8,64.0,150.0,1453.68,453.0,997.03,0,1,Two sisters embark on a journey to uncover the truth about their past and the origins of their kingdom.,https://m.media-amazon.com/images/M/MV5BMjA0YjYyZGMtN2U0Ni00YmY4LWJkZTItYTMyMjY3NGYyMTJkXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg,1.0
25,2019,The Lion King,118.0,52.0,6.8,55.0,260.0,1663.08,663.3,999.78,0,1,A young lion prince embarks on a journey of self-discovery after the loss of his father.,https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_SX300.jpg,1.0
26,2021,Raya and the Last Dragon,107.0,94.0,7.3,75.0,100.0,130.4,54.7,75.7,0,1,A young warrior sets out to find the last dragon to save her world.,https://m.media-amazon.com/images/M/MV5BZWNiOTc4NGItNGY4YS00ZGNkLThkOWEtMDE2ODcxODEwNjkwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,1.0
27,2020,Encanto,99.0,91.0,7.2,75.0,50.0,256.79,96.2,160.6,1,3,A young girl in a magical family discovers her unique gift and the secrets of her family.,https://m.media-amazon.com/images/M/MV5BNjE5NzA4ZDctOTJkZi00NzM0LTkwOTYtMDI4MmNkMzIxODhkXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,1.0
28,2021,Luca,95.0,91.0,7.5,71.0,120.0,51.07,49.8,49.75,0,1,Two young sea creatures experience an unforgettable summer of adventure on land.,https://m.media-amazon.com/images/M/MV5BZTQyNTU0MDktYTFkYi00ZjNhLWE2ODctMzBkM2U1ZTk3YTMzXkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_SX300.jpg,1.0
