id,year,title,runtime,rt_score,imdb_score,metacritic_score,worldwide_gross,domestic_gross,international_gross,oscars_won,oscars_nominated,studio_id,overview,url_poster
1,1937,Snow White and the Seven Dwarfs,83,98.0,7.6,95.0,418.2,184.9,233.3,0.0,1.0,1,"A young princess is threatened by her jealous stepmother, the Queen, and finds refuge with seven dwarfs.",https://m.media-amazon.com/images/M/MV5BMTQwMzE2Mzc4M15BMl5BanBnXkFtZTcwMTE4NTc1Nw@@._V1_SX300.jpg
2,1950,Cinderella,74,97.0,7.3,85.0,182.5,93.6,88.9,0.0,3.0,1,A young woman with an evil stepmother and stepsisters goes to a ball with the help of her fairy godmother.,https://m.media-amazon.com/images/M/MV5BMjMxODYyODEzN15BMl5BanBnXkFtZTgwMDk4OTU0MzE@._V1_SX300.jpg
3,1955,Lady and the Tramp,75,93.0,7.3,71.0,187.0,93.6,93.4,0.0,2.0,1,The romantic adventures of a pampered cocker spaniel and a street-smart mongrel.,https://m.media-amazon.com/images/M/MV5BYTI1ZDc1OTItM2EzNS00ODMxLWIxYzctOTc5YWNiYzI3NGZiXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg
4,1967,The Jungle Book,78,95.0,7.6,65.0,378.0,141.0,237.0,0.0,1.0,1,A young boy raised by animals learns about the jungle and himself.,https://m.media-amazon.com/images/M/MV5BMTc3NTUzNTI4MV5BMl5BanBnXkFtZTgwNjU0NjU5NzE@._V1_SX300.jpg
5,1989,The Little Mermaid,83,93.0,7.6,88.0,235.9,111.5,124.3,2.0,3.0,1,A mermaid princess makes a deal with a sea witch to become human.,https://m.media-amazon.com/images/M/MV5BOWUyNDA0ZmItMzg2My00YjJhLTk1N2QtYTAxYTc0NzMzNDI0XkEyXkFqcGdeQXVyMTI5NzUyMTIz._V1_SX300.jpg
6,1991,Beauty and the Beast,84,95.0,8.0,95.0,331.9,218.7,113.2,2.0,6.0,1,A young woman falls in love with a cursed prince who must learn to love and be loved to break the spell.,https://m.media-amazon.com/images/M/MV5BMzE5MDM1NDktY2I0OC00YWI5LTk2NzUtYjczNDczOWQxYjM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
7,1992,Aladdin,90,95.0,8.0,86.0,504.1,217.4,286.7,2.0,5.0,1,A street-smart young man and his magical friend must save the princess from an evil sorcerer.,https://m.media-amazon.com/images/M/MV5BZTg5ZTVmM2EtZjdhZC00MzBjLWEwZTYtNWIwZDczYzZkMzA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
8,1994,The Lion King,88,93.0,8.5,88.0,968.5,422.8,545.7,2.0,4.0,1,A young lion prince must reclaim his throne after his father's death.,https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_SX300.jpg
9,1995,Pocahontas,81,55.0,6.7,58.0,346.1,141.5,204.6,2.0,2.0,1,A Native American woman must choose between her duty to her tribe and her love for a settler.,https://m.media-amazon.com/images/M/MV5BMzc4YzhiN2ItY2Y4NC00YTA0LWEyMjEtNzllNTcxZDdjODhiXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg
10,1997,Hercules,93,84.0,7.3,74.0,252.7,99.1,153.6,0.0,1.0,1,A young demigod must prove himself worthy to rejoin his family on Mount Olympus.,https://m.media-amazon.com/images/M/MV5BZDcwYjEyNWItMGI1Mi00MjI1LWIyMDEtMTQ4YjhkNjM4NDU3XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg
11,1998,Mulan,88,86.0,7.6,71.0,304.3,120.6,183.7,0.0,1.0,1,A young Chinese maiden disguises herself as a male soldier to save her father and her country.,https://m.media-amazon.com/images/M/MV5BODkxNGQ1NWYtNzg0Ny00Yjg3LThmZTItMjE2YjhmZTQ0ODY5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
12,1999,Tarzan,88,89.0,7.3,79.0,448.2,171.1,277.1,1.0,1.0,1,An orphaned boy raised by gorillas learns about his heritage and faces danger in the jungle.,https://m.media-amazon.com/images/M/MV5BY2ZiYWUxN2ItYmQxZi00NDlkLWE2NDAtOTNmYTg1MDI0NDk1XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg
13,2000,The Emperor's New Groove,78,85.0,7.4,70.0,169.3,89.3,80.0,0.0,1.0,1,An arrogant young emperor is transformed into a llama and must find his way back to his throne.,https://m.media-amazon.com/images/M/MV5BMjFkMzk2OWUtNjFmZC00ZTJhLTlkNGYtYjc2YWNkNmJmNzczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
14,2002,Lilo & Stitch,85,86.0,7.3,73.0,273.1,145.8,127.3,0.0,1.0,1,A young Hawaiian girl forms an unlikely friendship with an alien creature trying to avoid capture.,https://m.media-amazon.com/images/M/MV5BYTY5MGE4MjEtNTMzYy00ODAxLWFiNDQtNzhlOGJiZWIzNDhkXkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_SX300.jpg
15,2003,Finding Nemo,100,99.0,8.2,90.0,895.6,339.7,555.9,1.0,4.0,1,A clownfish goes on an adventure to find his son who was captured by divers.,https://m.media-amazon.com/images/M/MV5BZmYxZjg3OWEtNzg5Yi00M2YzLWI1YzYtYTQ0NTgwNzhjN2E1XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg
16,2005,Chicken Little,81,36.0,5.7,36.0,314.4,135.4,179.0,0.0,0.0,1,A young chicken who caused alarm in his town must save it from a real alien invasion.,https://m.media-amazon.com/images/M/MV5BMTM3MTIzMDQxMV5BMl5BanBnXkFtZTYwNTE0Mjg3._V1_SX300.jpg
17,2008,Bolt,96,89.0,6.8,67.0,310.0,114.1,195.9,0.0,1.0,1,A dog who thinks he's a superhero goes on an adventure to find his owner.,https://m.media-amazon.com/images/M/MV5BNDQyNDE5NjQ1N15BMl5BanBnXkFtZTcwMDExMTAwMg@@._V1_SX300.jpg
18,2010,Tangled,100,89.0,7.7,71.0,592.5,200.8,391.7,0.0,1.0,1,A young woman with magical hair escapes her tower and goes on an adventure with a charming thief.,https://m.media-amazon.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_SX300.jpg
