id,year,title,runtime,rt_score,imdb_score,metacritic_score,budget,worldwide_gross,domestic_gross,international_gross,oscars_won,oscars_nominated,overview,url_poster,studio_id
1,1937,Snow White and the Seven Dwarfs,83,98.0,7.6,95.0,1.49,418.2,184.9,233.3,0,1,"A young princess is threatened by her jealous stepmother, the Queen, and finds refuge with seven dwarfs.",https://m.media-amazon.com/images/M/MV5BMTQwMzE2Mzc4M15BMl5BanBnXkFtZTcwMTE4NTc1Nw@@._V1_SX300.jpg,1
2,1950,Cinderella,74,97.0,7.3,85.0,2.9,182.5,93.6,88.9,0,3,A young woman with an evil stepmother and stepsisters goes to a ball with the help of her fairy godmother.,https://m.media-amazon.com/images/M/MV5BMjMxODYyODEzN15BMl5BanBnXkFtZTgwMDk4OTU0MzE@._V1_SX300.jpg,1
3,1955,Lady and the Tramp,75,93.0,7.3,71.0,4.0,187.0,93.6,93.4,0,2,The romantic adventures of a pampered cocker spaniel and a street-smart mongrel.,https://m.media-amazon.com/images/M/MV5BYTI1ZDc1OTItM2EzNS00ODMxLWIxYzctOTc5YWNiYzI3NGZiXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,1
4,1967,The Jungle Book,78,95.0,7.6,65.0,4.0,378.0,141.0,237.0,0,1,A young boy raised by animals learns about the jungle and himself.,https://m.media-amazon.com/images/M/MV5BMTc3NTUzNTI4MV5BMl5BanBnXkFtZTgwNjU0NjU5NzE@._V1_SX300.jpg,1
5,1989,The Little Mermaid,83,93.0,7.6,88.0,40.0,235.9,111.5,124.3,2,3,A mermaid princess makes a deal with a sea witch to become human.,https://m.media-amazon.com/images/M/MV5BOWUyNDA0ZmItMzg2My00YjJhLTk1N2QtYTAxYTc0NzMzNDI0XkEyXkFqcGdeQXVyMTI5NzUyMTIz._V1_SX300.jpg,1
6,1991,Beauty and the Beast,84,95.0,8.0,95.0,25.0,331.9,218.7,113.2,2,6,A young woman falls in love with a cursed prince who must learn to love and be loved to break the spell.,https://m.media-amazon.com/images/M/MV5BMzE5MDM1NDktY2I0OC00YWI5LTk2NzUtYjczNDczOWQxYjM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1
7,1992,Aladdin,90,95.0,8.0,86.0,28.0,504.1,217.4,286.7,2,5,A street-smart young man and his magical friend must save the princess from an evil sorcerer.,https://m.media-amazon.com/images/M/MV5BZTg5ZTVmM2EtZjdhZC00MzBjLWEwZTYtNWIwZDczYzZkMzA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1
8,1994,The Lion King,88,93.0,8.5,88.0,45.0,968.5,422.8,545.7,2,4,A young lion prince must reclaim his throne after his father's death.,https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_SX300.jpg,1
9,1995,Pocahontas,81,55.0,6.7,58.0,55.0,346.1,141.5,204.6,2,2,A Native American woman must choose between her duty to her tribe and her love for a settler.,https://m.media-amazon.com/images/M/MV5BMzc4YzhiN2ItY2Y4NC00YTA0LWEyMjEtNzllNTcxZDdjODhiXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,1
10,1997,Hercules,93,84.0,7.3,74.0,85.0,252.7,99.1,153.6,0,1,A young demigod must prove himself worthy to rejoin his family on Mount Olympus.,https://m.media-amazon.com/images/M/MV5BZDcwYjEyNWItMGI1Mi00MjI1LWIyMDEtMTQ4YjhkNjM4NDU3XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg,1
